Genus,SpeciesName,Species,Museum,MusID,Sex,Locomotion,FemurHead,NSA,Neck,L2,L4,FTA,PS,PI,AS,AI,TotalArea,SUP,ANT,AcetabDiameter,PelvicBreadth,Abduction,AbductedKnee
Ateles,fuscicepes,Ateles_fusciceps,USNM,338112,1,Suspensory,17.436,109.42,22.751,171.094,18.575,69.929,167.629,110.478,163.814,181.501,623.422,102.502,99.735,20.705,32.91,48.041,179.096
Ateles,fuscicepes,Ateles_fusciceps,USNM,338115,1,Suspensory,17.791,106.301,23.285,175.839,12.424,82.032,179.028,102.117,185.343,154.799,621.287,112.168,102.783,19.913,35.611,42.235,174.61
Ateles,fuscicepes,Ateles_fusciceps,USNM,338113,2,Suspensory,19.463,99.962,20.654,172.778,14.257,69.369,220.604,127.193,237.137,219.536,804.47,110.857,111.375,22.086,39.822,50.108,184.696
Ateles,fuscicepes,Ateles_fusciceps,USNM,338114,2,Suspensory,17.393,103.946,24.487,184.492,17.355,69.435,171.993,103.997,169.02,165.589,610.599,105.487,99.892,20.608,46.068,42.877,193.067
Ateles,fuscicepes,Ateles_fusciceps,USNM,338116,2,Suspensory,16.966,111.603,22.164,189.447,15.603,77.316,169.296,100.948,162.49,143.116,575.85,110.715,94.381,18.761,37.511,44.985,191.361
Ateles,fusciceps,Ateles_fusciceps,USNM,338111,2,Suspensory,17.403,120.145,20.034,180.458,16.09,81.147,160.944,106.549,166.521,153.357,587.371,103.365,100.418,19.737,36.382,62.493,212.536
Ateles,geoffroyi,Ateles_geoffroyi,USNM,244863,2,Suspensory,17.336,106.663,20.563,171.304,13.763,75.509,170.829,110.42,203.248,168.217,652.714,111.216,106.212,19.508,37.226,53.407,189.293
Ateles,geoffroyi,Ateles_geoffroyi,USNM,244869,2,Suspensory,15.211,116.723,21.651,170.589,15.676,82.043,126.26,78.923,133.916,131.058,470.157,102.766,105.368,18.085,32.16,51.664,184.393
Ateles,geoffroyi,Ateles_geoffroyi,USNM,276631,2,Suspensory,17.322,119.215,19.698,173.867,15.837,81.646,162.61,110.04,183.693,154.209,610.552,109.372,103.079,19.969,34.532,53.05,190.805
Ateles,paniscus,Ateles_paniscus,ZMA,12517,1,Suspensory,19.608,107.803,28.302,208.655,16.323,80.501,228.281,149.346,193.065,193.677,764.369,105.656,91.789,23.238,38.947,59.636,239.473
Ateles,paniscus,Ateles_paniscus,ZMA,12518,1,Suspensory,19.497,112.863,25.395,203.119,18.061,78.988,217.533,143.094,188.2,204.123,752.95,98.91,96.263,23.342,33.684,42.95,194.942
Ateles,paniscus,Ateles_paniscus,AMNH,35449,1,Suspensory,16.26,118.444,18.604,176.504,15.091,82.237,143.119,102.388,118.871,131.16,495.538,92.956,95.471,20.094,26.269,62.267,197.393
Cebus,apella,Cebus_apella,AMNH,188035,1,Non,11.554,100.761,10.161,121.651,6.672,77.809,79.572,39.529,82.779,54.964,256.844,120.885,97.73,12.632,21.599,46.625,119.904
Cebus,apella,Cebus_apella,USNM,270361,1,Non,11.499,107.987,11.513,120.664,9.37,76.301,73.059,42.238,71.279,64.598,251.174,111.316,93.902,12.824,24.169,39.683,112.241
Cebus,apella,Cebus_apella,USNM,361020,1,Non,11.115,100.264,11.723,120.831,7.647,75.611,72.523,40.273,77.834,57.217,247.847,120.886,100.427,12.534,20.91,37.241,104.96
Cebus,apella,Cebus_apella,ZMA,12534,2,Non,9.399,106.748,10.628,106.532,8.755,74.023,50.502,31.401,46.358,37.683,165.944,112.873,93.464,10.812,22.559,34.078,93.093
Cebus,apella,Cebus_apella,ZMA,12536,2,Non,10.056,107.641,10.537,119.722,8.552,75.008,58.26,32.441,58.394,47.967,197.062,114.306,99.545,11.538,21.22,47.738,119.336
Cebus,apella,Cebus_apella,AMNH,188033,2,Non,11.258,111.681,9.301,117.546,6.784,83.233,73,36.299,73.357,65.102,247.758,110.643,104.237,11.962,24.754,48.192,120.549
Cebus,apella,Cebus_apella,USNM,270360,2,Non,9.88,105.516,8.169,111.232,6.981,74.024,56.273,29.854,56.094,44.269,186.49,119.394,95.03,10.872,20.331,41.971,101.349
Cebus,apella,Cebus_apella,USNM,547900,2,Non,9.48,103.604,10.665,105.215,7.538,73.901,50.964,26.869,53.975,38.257,170.065,122.099,94.952,10.357,17.185,39.468,93.254
Cebus,apella,Cebus_apella,USNM,547902,2,Non,9.9,108.78,9.636,118.525,8.231,74.918,57.954,36.509,55.658,49.872,199.993,110.027,98.666,11.538,23.465,43.453,114.784
Cercopithecus,mitis,Cercopithecus_mitis,USNM,452536,1,Non,14.158,101.073,13.578,154.724,12.118,65.098,121.418754,67.587476,123.536,91.321,403.86323,122.495,94.24,16.392,27.569,35.759,131.573
Cercopithecus,mitis,Cercopithecus_mitis,USNM,452538,1,Non,16.166,110.335,14.117,158.27,16.202,64.371,145.763411,61.05678,140,115.35769,462.177881,109.015,100.111,17.59,29.937,36.399,138.902
Cercopithecus,mitis,Cercopithecus_mitis,USNM,452547,1,Non,15.128,99.827,13.255,163.547,13.1,65.226,127.079645,68.032463,137.348722,114.417061,446.877891,114.046,99.344,17.089,34.428,34.185,139.178
Cercopithecus,mitis,Cercopithecus_mitis,USNM,452553,1,Non,15.694,103.679,17.087,162.363,15.116,64.234,154.765257,73.825861,158.054168,142.006894,528.65218,115.163,107.427,16.827,30.87,48.899,164.024
Cercopithecus,mitis,Cercopithecus_mitis,USNM,452531,2,Non,11.775,97.132,12.6,128.327,10.712,63.778,86.545,57.908,86.045,80.311,310.809,103.593,103.797,13.561,24.149,34.158,107.862
Cercopithecus,mitis,Cercopithecus_mitis,USNM,452537,2,Non,13.266,104.205,11.702,138.425,12.345,64.361,107.00417,69.44459,106.789,93.380265,373.165568,110.542,100.85,14.671,30.878,46.914,142.291
