Genus,species_name,species,museum,MusID,sex,femur_head,NSA,NECK,L2,L4,FTA,PS,PI,AS,AI,total_area,SUP,ANT,acetab_diameter,pelvic_breadth,abduction,abducted_knee_position
Nasalis,larvatus,Nasalis_larvatus,ZSM,1907.3027,1,22.26,104.16,18.44,213.17,20.91,61.83,250.51,153.51,269.38,230.71,904.11,108.79,100.44,24.40,41.63,51.36,221.44
Nasalis,larvatus,Nasalis_larvatus,MCZH,37327,1,21.60,114.15,21.85,221.98,22.51,70.15,271.05,180.13,284.48,258.85,994.52,102.57,106.87,24.23,45.68,52.59,237.27
Nasalis,larvatus,Nasalis_larvatus,MCZH,37329,1,22.18,106.97,20.64,221.08,23.12,62.63,279.59,181.15,272.91,238.19,971.84,107.73,104.69,25.45,41.72,51.05,226.90
Nasalis,larvatus,Nasalis_larvatus,MCZH,37330,1,23.57,104.68,21.10,226.37,19.55,67.47,331.83,185.16,328.36,279.48,1124.82,111.24,104.77,27.27,45.10,47.57,226.57
Nasalis,larvatus,Nasalis_larvatus,MCZH,41557,1,22.06,106.28,21.06,216.32,21.78,63.65,273.60,171.54,290.40,259.51,995.05,109.38,101.63,25.58,38.67,43.88,199.65
Nasalis,larvatus,Nasalis_larvatus,MCZH,41561,1,24.17,97.60,20.92,239.59,21.14,61.47,332.83,189.64,343.49,249.81,1115.77,117.03,102.09,27.13,48.56,39.82,215.17
Nasalis,larvatus,Nasalis_larvatus,MCZH,41563,1,21.96,105.36,19.46,221.91,20.44,62.60,266.25,164.68,281.72,221.44,934.08,112.86,104.76,24.99,42.72,45.96,214.67
Nasalis,larvatus,Nasalis_larvatus,USNM,399070,1,21.56,98.52,19.08,221.32,20.50,56.69,248.74,130.13,257.92,210.20,846.99,114.27,100.71,24.05,41.42,36.74,189.26
Nasalis,larvatus,Nasalis_larvatus,MCZH,37328,2,22.80,98.68,23.04,244.32,21.80,59.04,295.64,176.42,297.70,215.17,984.92,115.39,94.07,26.45,41.99,41.69,217.39
Nasalis,larvatus,Nasalis_larvatus,MCZH,37331,2,19.71,111.46,15.69,205.40,14.46,73.98,209.08,142.18,219.01,190.36,760.64,105.53,105.52,22.55,38.88,55.47,217.45
Nasalis,larvatus,Nasalis_larvatus,MCZH,37337,2,17.40,114.06,16.57,182.40,17.30,69.08,155.96,115.76,167.16,134.61,573.50,105.39,102.56,19.77,34.91,42.74,169.93
Nasalis,larvatus,Nasalis_larvatus,MCZH,37339,2,18.98,115.19,15.81,186.03,17.43,69.95,197.07,135.22,190.96,183.19,706.44,104.27,99.00,21.77,37.67,44.65,182.10
Nasalis,larvatus,Nasalis_larvatus,MCZH,37343,2,18.13,103.88,14.69,189.76,14.20,66.85,191.21,109.17,183.19,149.40,632.96,111.57,99.94,20.08,35.25,51.18,192.63
Nasalis,larvatus,Nasalis_larvatus,MCZH,37344,2,18.92,104.91,20.47,212.12,15.84,69.00,202.05,124.35,195.08,150.82,672.30,111.85,98.09,21.59,41.34,44.92,204.43
Nasalis,larvatus,Nasalis_larvatus,MCZH,41554,2,17.18,107.26,13.68,181.69,14.03,68.74,152.34,94.90,183.21,139.69,570.14,111.22,106.28,19.62,35.76,45.11,174.23
Nasalis,larvatus,Nasalis_larvatus,MCZH,41555,2,18.62,110.28,16.21,191.15,13.78,74.14,183.12,127.00,202.72,149.16,661.99,109.94,96.67,20.63,36.62,35.59,161.69
Nasalis,larvatus,Nasalis_larvatus,MCZH,41559,2,18.74,102.01,16.73,196.72,14.86,65.73,192.55,107.44,207.86,165.42,673.28,114.79,104.20,21.12,38.55,41.46,178.85
Pan,paniscus,Pan_paniscus,MRAC,15294,1,30.17,118.19,34.06,253.56,31.17,76.11,487.75,371.18,495.47,531.40,1885.80,98.21,106.28,33.21,57.21,66.03,313.31
Pan,paniscus,Pan_paniscus,MRAC,15295,1,30.37,111.34,35.26,250.36,28.81,76.77,464.20,298.55,520.35,500.06,1783.15,105.60,114.47,37.62,64.12,60.29,307.98
Pan,paniscus,Pan_paniscus,MRAC,27696,1,31.47,125.20,40.51,247.37,38.38,78.56,542.15,420.25,560.34,525.67,2048.41,98.90,102.34,34.92,64.24,66.76,322.84
Pan,paniscus,Pan_paniscus,MRAC,27699,1,31.87,131.49,47.01,237.39,44.30,83.88,563.07,484.31,538.70,582.37,2168.98,91.25,103.42,35.20,59.80,61.83,312.52
Pan,paniscus,Pan_paniscus,MRAC,29044,1,29.51,126.39,41.61,235.90,35.75,84.85,489.94,388.22,501.34,465.28,1844.78,97.34,103.39,33.73,57.94,59.56,294.51
Pan,paniscus,Pan_paniscus,MRAC,15293,2,30.55,122.40,39.29,259.44,35.45,80.69,505.41,421.62,505.11,518.07,1950.20,95.86,96.73,33.33,69.85,61.02,330.18
Pan,paniscus,Pan_paniscus,MRAC,15296,2,33.10,130.14,44.11,252.91,44.10,81.61,547.52,378.48,566.14,588.18,2080.31,97.27,108.93,35.26,66.85,58.87,324.17
Pan,paniscus,Pan_paniscus,MRAC,29035,2,29.71,119.11,32.33,253.41,28.24,80.90,525.48,380.35,521.15,486.24,1913.23,106.08,99.37,33.08,63.50,59.83,309.48
Pan,paniscus,Pan_paniscus,MRAC,29040,2,32.95,127.24,42.90,253.20,44.31,75.98,603.73,489.31,656.60,657.84,2407.48,98.93,107.19,37.80,70.58,62.43,330.83
